لری, فارسی
پارچه­نه ورتلیشنا  , پارچه­را پاره کرد
چسپ زخمشه ورتکنا  , چسب زخمش را باز کرد
شکم پولادی ای­خُه که ورتناب نون گندمه داشته بو ,  شکم پولادی می­خواهد که تحمّل نان گندم را داشته باشد
نونه ورپرزنی که من او گوشت , نان را ریز ریز کرد و آن را در آب­گوشت ریخت
ای­گل ورپرزهس  , این گل ریز ریز شد
وی مریضی وربید نی¬کنه , از این بیماری جان سالم به در نمی­برد
وی تصادف وربید که , از این تصادف جان سالم به در برد
تيه دِردَه  , چشم دريده
تيش چكش اي­زنه  , چشمش چكش مي‌زند. 
تيش اي¬زنه  , چشمش مي‌زند
تيه گسنه  , چشم گرسنه
تيه واز كردن  , چشم باز كردن
تيت روشن  , چشمت روشن
ورتيم سه وابي , جلوي چشمم سياه شد
وَ تِيَم رَه, از چشمم رفت
تيش ره من كلي سرش , چشمش در فرق سرش قرار گرفت
ثابت وابي اي كارَه نكرده , ثابت شد كه اين كار را نكرده است.
خواسُم ثباب كنم كباب وابيدم , خواستم ثواب كنم كباب شدم
جا تره بچنه هم ني , جا تر است بچه هم نيست
جا نه بِهس  , جا را پهن كرد
آدم جا نگرهته جاش من جهنمه, آدم جا نگرفته جایش در جهنم است
جا و جا وابيدن, جا به جا شدن.
جا وَ جا وابي  , جا به جا شد
جا وجا ني وي بو  , جابه جا نمي‌شود
جو برشته وَ جاش بكالن , جوي برشته به جايش بكارند
جاش خشه  , جايش خوش است
جاش نخوبه , جايش خوب نيست.
جاش ني  , جايش نيست
جانه بنداز  , رختخواب را بينداز.
جانَه جهم كُ  , رختخواب را جمع كن
جاهلي كه  , ناداني كرد
جبابش دا, جوابش را داد
جدا وابيدن  , جدا شدن. 
جَر سگه گا اي برِه, دعواي سگ را گاو قطع مي‌كند
جومشَه اي ده جر اي خِرِه, پيراهنش را مي‌دهد و دعوا مي‌خرد
جراش رَسي و عرش  , فريادش به عرش رسيد
مِن جرون گرما رهتم و دَر , در شدّت گرما بيرون رفتم
من جرون توسون كار اي­كنم , در شدّت تابستان كار مي‌كنم
راجه وي جريان حرف زه , راجع به اين جريان حرف زد
پارچنه جِرنا  , پارچه را جر داد
آدم با جريتي­يه  , آدم با جرأتي است
اي درد مِن جسمشه, اين درد در جسم اوست
جست گره , ژست گرفت
جست اي گره , ژست مي‌گيرد.
گا كو زيد , گاو زاييد 
جفتش اومه, جفتش هم آمد
جگرش برشت  , جگرش برشته شد
جگر بِرِشته سيت بخرم , برايت جگر برشته بخورم
جگرش سهت , جگرش سوخت
آدم جگر داريَه  , آدم جگر داري است
آدم جلفي­يه  , آدم جلفی است
چونَه وَش جمنا  , چوب را به سمت او پرت کرد
بَردَه وش جمنا  , سنگ را به طرف او پرتاب كرد
جِن اومَدِه, جن آمده است
جوش اي­زنه  , جوش مي‌زند
وَ جوش اومده  ,  به جوش آمده است
جون و جونش كِنن هيچ واني­بو , جان به جانش كنند هيچ نمي‌شود. 
جون ورومَده , جان برآمده
جون و دِ دندون گرهته , جان به دو دندان گرفته است
جونش اومَدِه مِن كرتي آخُر, جونش در كرت آخر قرار گرفته است
جونه خِرمون كِه  , جانمان را به گلويمان رساند
جون وَ عزراييل نيده  , جان به عزراييل نمي‌دهد
جون خش بو مال ودَهس اي يا, جان خوش باشد ثروت به دست مي‌آيد
جووني تا پيري پيري تا كي , از جوانی تا پيری از پيری تا کی
جو برشته و جاش بكالن , به جاي او يا آن جوي برشته بكارند
جورشه خم اي­كشم , جورش را خودم می کشم
جولون اي­ده  , جولان مي‌دهد
بي جهت زندونش كردن, بدون دليل او را زندان كردند
تي سُ و جهنم بيدي, تا اكنون در جهنم بودي
فضوله بردن وَ جهنم گُ هيمش تره , فضول را به جهنم بردند گفت هيزمش تر است
پز عالي جيو خالي  , پز عالی جیب خالی
آدم چاپلوسي­يه  , آدم چاپلوسي است
چار انگس مث هَم نيسِن , چهار انگشت مثل هم نيستند
چار ستين بدنم درد اي­كنه , چهار ستون بدنم درد مي‌كند
چار چارك يَه مَنه  , چهار چارك يك من است
چار هَسه­خون بدنم سالمه , چهار استخوان بدنم سالم است
چارهَسَه­خونشه خُرد ای­کُنم , چهار استخوان او را خرد می­کنم
چارش نكردم  , چاره‌اش نكردم. 
چاره نداره  , چاره ندارد
دماغِش چاقه  , دماغش چاق است
قيلونَه چاق كِه  , قليان را چاق كرد
زمينه چاق كِه , زمين را چاق كرد
پا وَ پاش بنه ورچاكنش, پا به پايش بگذار و پاره‌اش كن
كردِش و چال  , او را در چاله کرد
چاله هِه خاگَه ني , لانه را هست ولی تخم را نيست
چپ چپ سيل اي­كنه , چپ چپ نگاه مي‌كند
چپقشه چاق كِه , چپقش را چاق كرد
چپق اي­كشه  , چپق مي‌كشد
چپوش كه  , او را غارت كرد
چر منش ني  , قطره‌اي در آن نيست
چر وَش ني­يا  , قطره‌اي از آن بيرون نمي‌آيد.
او چر چر اي­ريزه  , آب قطره قطره مي‌ريزد
چتره واز كه  , چتر را باز كرد.
خدي كه سر چرخ و دَهسِشِه , خدايي كه سر چرخ به دستش است
سوار چرخ وابي  , بر چرخ سوار شد
چرخه اي­زنه  , چرخ مي‌زند
چرخهسن, چرخيدن
چرمه بپا سگ نبره, بپا  چرم را سگ نبرد
سگ كه بردش آخ ور نكش, اگر سگ آن را برد، آخ نکش
پارچنه ششت , پارچه را شست 
چک ای­کشه  , چک می کشد
تیش چکش ای­زنه  , چشم او چکش می­زند
تی­سُ مثش خدا چکش نزده , تا حالا مثل او خدا چکش نزده است
تفنگه چکنا  , تفنگ را چکاند
او ای چکه  , آب می­چکد
اول چله آخر شله , آغاز چله و پايان پلو
دَهس كِه زير چل , دست زير بغل كرد
من کارش چلکه ای شکنه , در کارش هیزم می شکند
اومه من حونه, وارد خانه شد
كليچ من تيش كه  , انگشت در چشم اوكرد
كليچ من تِيم اي كنه, انگشت در چشم من مي‌كند
چمک زیر بغل  , عصای زیر بغل.
چمک دَهسِمِه, عصای دستم است
چن تا یه , چند تا است
چندر فروشی پس گردنی هم داره , چغندر فروشی پس گردنی هم دارد
موچنده اونگل زمین دارم , من به اندازه­ی آن ها زمین دارم
یه چنگ گندم  , یک مشت گندم.
چو وَدَهس اومِدن  , چوب به دست آمدن
چو من سر و دینشه , چوب به سر دنبالش است
چونَه که وَه گری سگ دز فرار ای کنه, چوب را که برداری سگ دزد می­گريزد
چو ای­کنه من چال مار , چوب در سوراخ مار می­کند
چو من چال گُنج نکن, چوب در لانه زنبور نکن
چو خدا صدا نداره , چوب خدا صدا ندارد
چون ای کارَه که ناراحت وابیدم , چون این کار را کرد ناراحت شدم.
چه وَ او رسیده  , چاه به آب رسیده است
چَه­نَه واکندن  , چاه را کندند
چه کن اول خش من چه ای­یفته , چاه کن اول خودش در چاه می­افتد
چه وَ جونم ای خی, چه از جانم می­خواهی
چه بختر  , چه بهتر
چه رکه  , چه رک است
چه که, چه کرد
چه وابی, چه شد
چه وت کنم, با تو چه کار کنم
چه وش دادن, چه به او دادند
چه خور, چه خبر
چه وی بو,  چه می­شود
چه خل من سرم بویزم , چه خاکی بر سرم بریزم
چه خواسم چه وابی  , چه خواستم چه شد
خذمَتَه ناكس كني, چه به آدم ناكس خدمت كني 
چه هيمي تري وت فرهتمه , چه هيزم تري به تو فروخته‌ام
یه چی سی خِش ای­گُ , یک چیزی برای خودش می­گوید
